state,district,city_name,latitude,longitude,population,source
"Uttar Pradesh","Lalitpur","Lalitpur","24.6878597","78.4120206","133041","Vynex Indian Cities Geodata"
"Bihar","West Champaran","Bettiah","26.8028048","84.5169757","156200","Vynex Indian Cities Geodata"
"Tamil Nadu","Coimbatore","Pollachi","10.6572737","77.0106693","90180","Vynex Indian Cities Geodata"
"Punjab","Ludhiana","Khanna","30.697852","76.2112286","128137","Vynex Indian Cities Geodata"
"Madhya Pradesh","Neemuch","Neemuch","24.4763852","74.8624092","128575","Vynex Indian Cities Geodata"
"Haryana","Palwal","Palwal","28.1487362","77.3320262","131121","Vynex Indian Cities Geodata"
"Gujarat","Palanpur","Palanpur","24.174051","72.4330989","122344","Vynex Indian Cities Geodata"
"Andhra Pradesh","Anantapur","Guntakal","15.1674091","77.3736238","126270","Vynex Indian Cities Geodata"
"West Bengal","Nadia","Nabadwip","23.4036446","88.3676393","175474","Vynex Indian Cities Geodata"
"Karnataka","Udupi","Udupi","13.3371151","74.746596","165401","Vynex Indian Cities Geodata"
"Chhattisgarh","Bastar","Jagdalpur","19.0740973","82.008014","125345","Vynex Indian Cities Geodata"
"Bihar","East Champaran","Motihari","26.6469624","84.9088938","125183","Vynex Indian Cities Geodata"
"Uttar Pradesh","Pilibhit","Pilibhit","28.6207939","79.8128649","160146","Vynex Indian Cities Geodata"
"Nagaland","Dimapur","Dimapur","25.8629885","93.7536663","375782","Vynex Indian Cities Geodata"
"Punjab","Mohali","Mohali","30.7046486","76.7178726","146104","Vynex Indian Cities Geodata"
"Rajasthan","","Sadulpur","","","","Existing IRTMS India city catalog"
"Tamil Nadu","Virudhunagar","Rajapalayam","9.451559","77.554355","130442","Vynex Indian Cities Geodata"
"Andhra Pradesh","Anantapur","Dharmavaram","14.422733","77.721472","121874","Vynex Indian Cities Geodata"
"Uttarakhand","Udham Singh Nagar","Kashipur","29.2104232","78.9618845","121610","Vynex Indian Cities Geodata"
"Tamil Nadu","","Sivakasi","","","","Existing IRTMS India city catalog"
"West Bengal","","Darjiling","","","","Existing IRTMS India city catalog"
"Karnataka","","Chikkamagaluru","","","","Existing IRTMS India city catalog"
"Andhra Pradesh","Krishna","Gudivada","16.4410255","80.9926327","118167","Vynex Indian Cities Geodata"
"Odisha","","Baleshwar Town","","","","Existing IRTMS India city catalog"
"Telangana","Adilabad","Mancherial","18.868797","79.446944","86911","Vynex Indian Cities Geodata"
"Andhra Pradesh","Srikakulam","Srikakulam","18.2969747","83.8967813","125939","Vynex Indian Cities Geodata"
"Telangana","Adilabad","Adilabad","19.676527","78.532194","117167","Vynex Indian Cities Geodata"
"Maharashtra","Yavatmal","Yavatmal","20.3887937","78.1204073","138303","Vynex Indian Cities Geodata"
"Punjab","Barnala","Barnala","30.3819446","75.5467979","116449","Vynex Indian Cities Geodata"
"Assam","Nagaon","Nagaon","26.3463713","92.6840426","147137","Vynex Indian Cities Geodata"
"Andhra Pradesh","Guntur","Narasaraopet","16.2353506","80.0479039","116250","Vynex Indian Cities Geodata"
"Chhattisgarh","Raigarh","Raigarh","21.8974003","83.3949632","100097","Vynex Indian Cities Geodata"
"Uttarakhand","Haridwar","Roorkee","29.8542626","77.8880002","275502","Vynex Indian Cities Geodata"
"Gujarat","Valsad","Valsad","20.5992349","72.9342451","114636","Vynex Indian Cities Geodata"
"Chhattisgarh","Surguja","Ambikapur","23.1354921","83.1817856","114575","Vynex Indian Cities Geodata"
